LAMMPS (24 Mar 2022)
Reading data file ...
  orthogonal box = (0 0 0) to (17.90955 17.90955 17.90955)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  365 atoms
  read_data CPU = 0.030 seconds
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.450959
  ghost atom cutoff = 6.450959
  binsize = 3.2254795, bins = 6 6 6
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair adp, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.776 | 6.776 | 6.776 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
       115   83.000323     -1173.822       0             -1169.9168     -56689.79     
       116   83.365736     -1173.8392      0             -1169.9168     -57152.167    
       117   83.715878     -1173.8557      0             -1169.9168     -57614.711    
       118   84.050568     -1173.8714      0             -1169.9168     -58077.327    
       119   84.369668     -1173.8865      0             -1169.9168     -58539.928    
       120   84.673086     -1173.9007      0             -1169.9168     -59002.423    
       121   84.960775     -1173.9143      0             -1169.9168     -59464.728    
       122   85.232734     -1173.9271      0             -1169.9168     -59926.761    
       123   85.489008     -1173.9391      0             -1169.9168     -60388.446    
       124   85.729685     -1173.9504      0             -1169.9168     -60849.71     
       125   85.954899     -1173.961       0             -1169.9168     -61310.483    
       126   86.164825     -1173.9709      0             -1169.9168     -61770.7      
       127   86.359678     -1173.9801      0             -1169.9168     -62230.303    
       128   86.539713     -1173.9886      0             -1169.9168     -62689.233    
       129   86.70522      -1173.9963      0             -1169.9168     -63147.441    
       130   86.856523     -1174.0035      0             -1169.9168     -63604.873    
       131   86.993976     -1174.0099      0             -1169.9168     -64061.482    
       132   87.117963     -1174.0158      0             -1169.9168     -64517.227    
       133   87.228889     -1174.021       0             -1169.9168     -64972.067    
       134   87.327183     -1174.0256      0             -1169.9168     -65425.969    
       135   87.413289     -1174.0296      0             -1169.9168     -65878.895    
       136   87.487665     -1174.0331      0             -1169.9168     -66330.82     
       137   87.55078      -1174.0361      0             -1169.9168     -66781.709    
       138   87.603108     -1174.0386      0             -1169.9168     -67231.54     
       139   87.645125     -1174.0405      0             -1169.9168     -67680.283    
       140   87.677306     -1174.0421      0             -1169.9168     -68127.921    
       141   87.700119     -1174.0431      0             -1169.9168     -68574.423    
       142   87.714023     -1174.0438      0             -1169.9168     -69019.758    
       143   87.719466     -1174.044       0             -1169.9168     -69463.905    
       144   87.716876     -1174.0439      0             -1169.9168     -69906.838    
       145   87.706664     -1174.0434      0             -1169.9168     -70348.53     
       146   87.689214     -1174.0426      0             -1169.9168     -70788.95     
       147   87.664887     -1174.0415      0             -1169.9168     -71228.067    
       148   87.634011     -1174.04        0             -1169.9168     -71665.848    
       149   87.596884     -1174.0383      0             -1169.9168     -72102.251    
       150   87.55377      -1174.0362      0             -1169.9168     -72537.241    
       151   87.504894     -1174.0339      0             -1169.9168     -72970.773    
       152   87.450442     -1174.0314      0             -1169.9168     -73402.799    
       153   87.390561     -1174.0286      0             -1169.9168     -73833.265    
       154   87.325355     -1174.0255      0             -1169.9168     -74262.119    
       155   87.254885     -1174.0222      0             -1169.9168     -74689.298    
       156   87.17917      -1174.0186      0             -1169.9168     -75114.741    
       157   87.098181     -1174.0148      0             -1169.9168     -75538.381    
       158   87.011847     -1174.0107      0             -1169.9168     -75960.141    
       159   86.920053     -1174.0064      0             -1169.9168     -76379.949    
       160   86.822639     -1174.0018      0             -1169.9168     -76797.725    
       161   86.719401     -1173.997       0             -1169.9168     -77213.387    
       162   86.610095     -1173.9918      0             -1169.9168     -77626.847    
       163   86.494434     -1173.9864      0             -1169.9168     -78038.018    
       164   86.372092     -1173.9806      0             -1169.9168     -78446.801    
